,Airline,Date_of_Journey,Source,Destination,Route,Duration,Total_Stops,Price,Arrival_Hour,Arrival_Day,Arrival_Min,Dep_Hour,Dep_Day,Dep_Min,Journey_Day,Journey_Month,Journey_Year
0,IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,170,0,3897,1,22,10,22,17,20,24,3,2019
1,Air India,2019-01-05,Kolkata,Banglore,CCU → IXR → BBI → BLR,445,2,7662,13,17,15,5,17,50,5,1,2019
2,Jet Airways,2019-09-06,Delhi,Cochin,DEL → LKO → BOM → COK,1140,2,13882,4,10,25,9,17,25,6,9,2019
3,IndiGo,2019-12-05,Kolkata,Banglore,CCU → NAG → BLR,325,1,6218,23,17,30,18,17,5,5,12,2019
4,IndiGo,2019-01-03,Banglore,New Delhi,BLR → NAG → DEL,285,1,13302,21,17,35,16,17,50,3,1,2019
5,SpiceJet,2019-06-24,Kolkata,Banglore,CCU → BLR,145,0,3873,11,17,25,9,17,0,24,6,2019
6,Jet Airways,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,930,1,11087,10,13,25,18,17,55,3,12,2019
7,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,1265,1,22270,5,2,5,8,17,0,3,1,2019
8,Jet Airways,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,1530,1,11087,10,13,25,8,17,55,3,12,2019
9,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,470,1,8625,19,17,15,11,17,25,27,5,2019
10,Air India,2019-01-06,Delhi,Cochin,DEL → BLR → COK,795,1,8907,23,17,0,9,17,45,6,1,2019
11,IndiGo,2019-04-18,Kolkata,Banglore,CCU → BLR,155,0,4174,22,17,55,20,17,20,18,4,2019
12,Air India,2019-06-24,Chennai,Kolkata,MAA → CCU,135,0,4667,13,17,55,11,17,40,24,6,2019
13,Jet Airways,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,730,1,9663,9,10,20,21,17,10,5,9,2019
14,IndiGo,2019-04-24,Kolkata,Banglore,CCU → BLR,155,0,4804,19,17,50,17,17,15,24,4,2019
15,Air India,2019-03-03,Delhi,Cochin,DEL → AMD → BOM → COK,1595,2,14011,19,4,15,16,17,40,3,3,2019
16,SpiceJet,2019-04-15,Delhi,Cochin,DEL → PNQ → COK,270,1,5830,13,17,15,8,17,45,15,4,2019
17,Jet Airways,2019-12-06,Delhi,Cochin,DEL → BOM → COK,1355,1,10262,12,13,35,14,17,0,6,12,2019
18,Air India,2019-12-06,Delhi,Cochin,DEL → CCU → BOM → COK,1380,2,13381,19,13,15,20,17,15,6,12,2019
19,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1235,1,12898,12,28,35,16,17,0,27,5,2019
