,Airline,Date_of_Journey,Source,Destination,Route,Duration,Total_Stops,Price,Arrival_Hour,Arrival_Day,Arrival_Min,Dep_Hour,Dep_Day,Dep_Min,Journey_Day,Journey_Month,Journey_Year,Journey_DOW,Dep_HourOfDay
0,IndiGo,2019-03-24,Banglore,Delhi,BLR → DEL,170,0,3897,1,22,10,22,24,20,24,3,2019,6,Night
1,Air India,2019-01-05,Kolkata,Banglore,CCU → IXR → BBI → BLR,445,2,7662,13,18,15,5,5,50,5,1,2019,5,Early Morning
2,Jet Airways,2019-09-06,Delhi,Cochin,DEL → LKO → BOM → COK,1140,2,13882,4,10,25,9,6,25,6,9,2019,4,Morning
3,IndiGo,2019-12-05,Kolkata,Banglore,CCU → NAG → BLR,325,1,6218,23,18,30,18,5,5,5,12,2019,3,Evening
4,IndiGo,2019-01-03,Banglore,Delhi,BLR → NAG → DEL,285,1,13302,21,18,35,16,3,50,3,1,2019,3,Noon
5,SpiceJet,2019-06-24,Kolkata,Banglore,CCU → BLR,145,0,3873,11,18,25,9,24,0,24,6,2019,0,Morning
6,Jet Airways,2019-12-03,Banglore,Delhi,BLR → BOM → DEL,930,1,11087,10,13,25,18,3,55,3,12,2019,1,Evening
7,Jet Airways,2019-01-03,Banglore,Delhi,BLR → BOM → DEL,1265,1,22270,5,2,5,8,3,0,3,1,2019,3,Early Morning
8,Jet Airways,2019-12-03,Banglore,Delhi,BLR → BOM → DEL,1530,1,11087,10,13,25,8,3,55,3,12,2019,1,Early Morning
9,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,470,1,8625,19,18,15,11,27,25,27,5,2019,0,Morning
10,Air India,2019-01-06,Delhi,Cochin,DEL → BLR → COK,795,1,8907,23,18,0,9,6,45,6,1,2019,6,Morning
11,IndiGo,2019-04-18,Kolkata,Banglore,CCU → BLR,155,0,4174,22,18,55,20,18,20,18,4,2019,3,Evening
12,Air India,2019-06-24,Chennai,Kolkata,MAA → CCU,135,0,4667,13,18,55,11,24,40,24,6,2019,0,Morning
13,Jet Airways,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,730,1,9663,9,10,20,21,5,10,5,9,2019,3,Night
14,IndiGo,2019-04-24,Kolkata,Banglore,CCU → BLR,155,0,4804,19,18,50,17,24,15,24,4,2019,2,Evening
15,Air India,2019-03-03,Delhi,Cochin,DEL → AMD → BOM → COK,1595,2,14011,19,4,15,16,3,40,3,3,2019,6,Noon
16,SpiceJet,2019-04-15,Delhi,Cochin,DEL → PNQ → COK,270,1,5830,13,18,15,8,15,45,15,4,2019,0,Early Morning
17,Jet Airways,2019-12-06,Delhi,Cochin,DEL → BOM → COK,1355,1,10262,12,13,35,14,6,0,6,12,2019,4,Noon
18,Air India,2019-12-06,Delhi,Cochin,DEL → CCU → BOM → COK,1380,2,13381,19,13,15,20,6,15,6,12,2019,4,Evening
19,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1235,1,12898,12,28,35,16,27,0,27,5,2019,0,Noon
20,GoAir,2019-06-03,Delhi,Cochin,DEL → BOM → COK,310,1,19495,19,18,20,14,3,10,3,6,2019,0,Noon
21,Air India,2019-03-21,Banglore,Delhi,BLR → COK → DEL,920,1,6955,13,19,20,22,21,0,21,3,2019,3,Night
22,IndiGo,2019-03-04,Banglore,Delhi,BLR → DEL,170,0,3943,6,18,50,4,4,0,4,3,2019,0,late night
23,IndiGo,2019-01-05,Banglore,Delhi,BLR → DEL,175,0,4823,21,18,50,18,5,55,5,1,2019,5,Evening
24,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,800,1,7757,8,7,15,18,5,55,5,6,2019,2,Evening
25,Jet Airways,2019-09-06,Delhi,Cochin,DEL → IDR → BOM → COK,910,2,13292,12,10,35,21,6,25,6,9,2019,4,Night
26,IndiGo,2019-01-06,Delhi,Cochin,DEL → LKO → COK,345,1,8238,3,2,35,21,6,50,6,1,2019,6,Night
27,GoAir,2019-05-15,Delhi,Cochin,DEL → BOM → COK,355,1,7682,12,18,55,7,15,0,15,5,2019,2,Early Morning
28,Vistara,2019-06-18,Banglore,Delhi,BLR → DEL,170,0,4668,12,18,35,9,18,45,18,6,2019,1,Morning
29,Vistara,2019-06-15,Chennai,Kolkata,MAA → CCU,135,0,3687,9,18,20,7,15,5,15,6,2019,5,Early Morning
30,Vistara,2019-06-18,Chennai,Kolkata,MAA → CCU,135,0,3687,9,18,20,7,18,5,18,6,2019,1,Early Morning
31,Air India,2019-01-05,Kolkata,Banglore,CCU → GAU → DEL → BLR,805,2,13227,23,18,15,9,5,50,5,1,2019,5,Morning
32,IndiGo,2019-06-04,Banglore,Delhi,BLR → DEL,170,0,4423,6,18,50,4,4,0,4,6,2019,1,late night
33,Jet Airways,2019-06-15,Delhi,Cochin,DEL → NAG → BOM → COK,1320,2,10919,12,16,35,14,15,35,15,6,2019,5,Noon
34,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,330,1,12373,12,18,35,7,18,5,18,5,2019,5,Early Morning
35,IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,625,1,5894,21,18,0,10,27,35,27,6,2019,3,Morning
36,SpiceJet,2019-05-21,Kolkata,Banglore,CCU → MAA → BLR,315,1,4649,20,18,20,15,21,5,21,5,2019,1,Noon
37,Air India,2019-05-18,Kolkata,Banglore,CCU → BLR,150,0,6245,16,18,45,14,18,15,18,5,2019,5,Noon
38,Jet Airways,2019-06-03,Banglore,Delhi,BLR → BOM → DEL,375,1,19225,13,18,15,7,3,0,3,6,2019,0,Early Morning
39,Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,715,1,14924,19,18,0,7,6,5,6,3,2019,2,Early Morning
40,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,665,1,9646,18,18,10,7,21,5,21,5,2019,1,Early Morning
41,Air India,2019-03-15,Banglore,Delhi,BLR → BOM → DEL,510,1,8714,15,18,15,6,15,45,15,3,2019,4,Early Morning
42,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1325,1,12373,19,19,0,20,18,55,18,5,2019,5,Evening
43,Air Asia,2019-06-05,Banglore,Delhi,BLR → DEL,165,0,3383,13,18,55,11,5,10,5,6,2019,2,Morning
44,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,720,1,13062,21,18,0,9,21,0,21,3,2019,3,Morning
45,SpiceJet,2019-03-24,Banglore,Delhi,BLR → DEL,170,0,3527,8,18,35,5,24,45,24,3,2019,6,Early Morning
46,IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,170,0,3943,6,18,50,4,27,0,27,5,2019,0,late night
47,Air India,2019-03-05,Chennai,Kolkata,MAA → CCU,135,0,4667,13,18,55,11,5,40,5,3,2019,1,Morning
48,Air India,2019-05-15,Kolkata,Banglore,CCU → HYD → BLR,965,1,6117,11,16,5,19,15,0,15,5,2019,2,Evening
49,Jet Airways,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,1195,2,11150,19,28,0,23,27,5,27,6,2019,3,Night
50,Jet Airways,2019-09-03,Delhi,Cochin,DEL → COK,195,0,7202,14,18,15,11,3,0,3,9,2019,1,Morning
51,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,1520,1,12121,10,2,55,9,5,35,5,1,2019,5,Morning
52,IndiGo,2019-03-24,Banglore,Delhi,BLR → DEL,170,0,4377,1,28,10,22,24,20,24,3,2019,6,Night
53,IndiGo,2019-06-18,Banglore,Delhi,BLR → DEL,180,0,3943,0,19,15,21,18,15,18,6,2019,1,Night
54,Air Asia,2019-03-04,Banglore,Delhi,BLR → DEL,170,0,4483,2,4,45,23,4,55,4,3,2019,0,Night
55,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,975,1,14231,12,25,0,19,24,45,24,3,2019,6,Evening
56,Air India,2019-01-03,Banglore,Delhi,BLR → BOM → AMD → DEL,905,2,17345,23,18,55,8,3,50,3,1,2019,3,Early Morning
57,Vistara,2019-06-03,Chennai,Kolkata,MAA → CCU,135,0,7414,9,18,20,7,3,5,3,6,2019,0,Early Morning
58,Multiple carriers,2019-06-05,Delhi,Cochin,DEL → BOM → COK,390,1,8073,1,7,30,19,5,0,5,6,2019,2,Evening
59,Vistara,2019-06-03,Mumbai,Hyderabad,BOM → DEL → HYD,1505,1,12395,16,7,45,15,3,40,3,6,2019,0,Noon
60,Air India,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,745,1,8366,21,18,50,9,6,25,6,6,2019,3,Morning
