,Airline,Destination,Duration,Total_Stops,Price,Dep_Hour,Dep_Day,Dep_Min,Journey_DOW,Source_Banglore,Source_Kolkata,Source_Delhi,Source_Chennai,Source_Mumbai
0,3,2,170,0,3897.0,22,24,20,6,1,0,0,0,0
1,8,3,445,2,7662.0,5,5,50,5,0,1,0,0,0
2,11,4,1140,2,13882.0,9,6,25,4,0,0,1,0,0
3,3,3,325,1,6218.0,18,5,5,3,0,1,0,0,0
4,3,2,285,1,13302.0,16,3,50,3,1,0,0,0,0
5,1,3,145,0,3873.0,9,24,0,0,0,1,0,0,0
6,11,2,930,1,11087.0,18,3,55,1,1,0,0,0,0
7,11,2,1265,1,22270.0,8,3,0,3,1,0,0,0,0
8,11,2,1530,1,11087.0,8,3,55,1,1,0,0,0,0
9,9,4,470,1,8625.0,11,27,25,0,0,0,1,0,0
10,8,4,795,1,8907.0,9,6,45,6,0,0,1,0,0
11,3,3,155,0,4174.0,20,18,20,3,0,1,0,0,0
12,8,0,135,0,4667.0,11,24,40,0,0,0,0,1,0
13,11,3,730,1,9663.0,21,5,10,3,0,1,0,0,0
14,3,3,155,0,4804.0,17,24,15,2,0,1,0,0,0
15,8,4,1595,2,14011.0,16,3,40,6,0,0,1,0,0
16,1,4,270,1,5830.0,8,15,45,0,0,0,1,0,0
17,11,4,1355,1,10262.0,14,6,0,4,0,0,1,0,0
18,8,4,1380,2,13381.0,20,6,15,4,0,0,1,0,0
19,11,4,1235,1,12898.0,16,27,0,0,0,0,1,0,0
20,4,4,310,1,19495.0,14,3,10,0,0,0,1,0,0
21,8,2,920,1,6955.0,22,21,0,3,1,0,0,0,0
22,3,2,170,0,3943.0,4,4,0,0,1,0,0,0,0
23,3,2,175,0,4823.0,18,5,55,5,1,0,0,0,0
24,11,3,800,1,7757.0,18,5,55,2,0,1,0,0,0
25,11,4,910,2,13292.0,21,6,25,4,0,0,1,0,0
26,3,4,345,1,8238.0,21,6,50,6,0,0,1,0,0
27,4,4,355,1,7682.0,7,15,0,2,0,0,1,0,0
28,5,2,170,0,4668.0,9,18,45,1,1,0,0,0,0
29,5,0,135,0,3687.0,7,15,5,5,0,0,0,1,0
30,5,0,135,0,3687.0,7,18,5,1,0,0,0,1,0
31,8,3,805,2,13227.0,9,5,50,5,0,1,0,0,0
32,3,2,170,0,4423.0,4,4,0,1,1,0,0,0,0
33,11,4,1320,2,10919.0,14,15,35,5,0,0,1,0,0
34,11,4,330,1,12373.0,7,18,5,5,0,0,1,0,0
35,3,4,625,1,5894.0,10,27,35,3,0,0,1,0,0
36,1,3,315,1,4649.0,15,21,5,1,0,1,0,0,0
37,8,3,150,0,6245.0,14,18,15,5,0,1,0,0,0
38,11,2,375,1,19225.0,7,3,0,0,1,0,0,0,0
39,11,4,715,1,14924.0,7,6,5,2,0,0,1,0,0
40,9,4,665,1,9646.0,7,21,5,1,0,0,1,0,0
41,8,2,510,1,8714.0,6,15,45,4,1,0,0,0,0
42,11,4,1325,1,12373.0,20,18,55,5,0,0,1,0,0
43,2,2,165,0,3383.0,11,5,10,2,1,0,0,0,0
44,9,4,720,1,13062.0,9,21,0,3,0,0,1,0,0
45,1,2,170,0,3527.0,5,24,45,6,1,0,0,0,0
46,3,2,170,0,3943.0,4,27,0,0,1,0,0,0,0
47,8,0,135,0,4667.0,11,5,40,1,0,0,0,1,0
48,8,3,965,1,6117.0,19,15,0,2,0,1,0,0,0
49,11,4,1195,2,11150.0,23,27,5,3,0,0,1,0,0
50,11,4,195,0,7202.0,11,3,0,1,0,0,1,0,0
51,11,3,1520,1,12121.0,9,5,35,5,0,1,0,0,0
52,3,2,170,0,4377.0,22,24,20,6,1,0,0,0,0
53,3,2,180,0,3943.0,21,18,15,1,1,0,0,0,0
54,2,2,170,0,4483.0,23,4,55,0,1,0,0,0,0
55,11,3,975,1,14231.0,19,24,45,6,0,1,0,0,0
56,8,2,905,2,17345.0,8,3,50,3,1,0,0,0,0
57,5,0,135,0,7414.0,7,3,5,0,0,0,0,1,0
58,9,4,390,1,8073.0,19,5,0,2,0,0,1,0,0
59,5,1,1505,1,12395.0,15,3,40,0,0,0,0,0,1
60,8,3,745,1,8366.0,9,6,25,3,0,1,0,0,0
61,8,4,1640,1,5117.0,6,4,5,0,0,0,1,0,0
62,9,4,615,1,12524.0,8,6,45,2,0,0,1,0,0
63,3,4,630,1,7191.0,15,15,0,2,0,0,1,0,0
64,5,0,135,0,3687.0,7,24,5,4,0,0,0,1,0
65,3,4,625,1,5894.0,10,24,35,0,0,0,1,0,0
66,5,2,170,0,5403.0,9,24,45,2,1,0,0,0,0
67,8,1,90,0,3625.0,13,5,55,2,0,0,0,0,1
68,8,4,800,2,10861.0,5,21,55,1,0,0,1,0,0
69,3,0,135,0,6297.0,13,3,20,1,0,0,0,1,0
70,11,1,85,0,5678.0,7,6,5,6,0,0,0,0,1
71,11,2,1590,1,9134.0,5,3,45,1,1,0,0,0,0
72,9,4,440,1,10791.0,11,24,40,0,0,0,1,0,0
73,11,4,810,2,12819.0,23,24,5,0,0,0,1,0,0
74,3,4,300,1,6893.0,5,21,5,3,0,0,1,0,0
75,5,2,165,0,7240.0,9,3,50,1,1,0,0,0,0
76,4,2,170,0,3898.0,11,4,40,0,1,0,0,0,0
